,text
591,"Urged by this view, I refused, and I did right in refusing, to create a companion for the first creature."
592,"The air is empoisoned, and each human being inhales death, even while in youth and health, their hopes are in the flower."
593,"Wretched devil You reproach me with your creation, come on, then, that I may extinguish the spark which I so negligently bestowed."""
594,She was for a while the sole object of his reveries; and Perdita became aware that his thoughts and time were bestowed on a subject unparticipated by her.
595,The physical state of man would soon not yield to the beatitude of angels; disease was to be banished; labour lightened of its heaviest burden.
596,My own heart was racked by regrets and remorse.
597,"A short conversation passed between us, but the next day he again stopped at my cottage and by degrees an intimacy grew between us."
598,"""Yet such must be the impression conveyed to you by what appears to be the purport of my actions."
599,"For the first time in my life I envied the sleep of the dead, and thought with pleasure of one's bed under the sod, where grief and fear have no power."
600,I was required to exchange chimeras of boundless grandeur for realities of little worth.
601,"So that when we make our hearts a lair for that gently seeming beast, its companion enters with it, and pitilessly lays waste what might have been an home and a shelter."""
602,Now I was led to examine the cause and progress of this decay and forced to spend days and nights in vaults and charnel houses.
603,This idea was torture to him.
604,"If you will comply with my conditions, I will leave them and you at peace; but if you refuse, I will glut the maw of death, until it be satiated with the blood of your remaining friends."""
605,"Our numbers were to move forward in separate parties, and to go by different routes, all to unite at last at Paris."
606,"Raymond, the deliverer of Greece, the graceful soldier, who bore in his mien a tinge of all that, peculiar to her native clime, Evadne cherished as most dear Raymond was loved by Evadne."
607,And now my wanderings began which are to cease but with life.
608,"If my last combat is now about to be fought, and I am to be worsted so let it be"" ""But come, Ryland, recollect yourself Men have hitherto thought you magnanimous and wise, will you cast aside these titles?"
609,I was oppressed by fatigue and hunger and far too unhappy to enjoy the gentle breezes of evening or the prospect of the sun setting behind the stupendous mountains of Jura.
610,"They shall go down together to the bars of the pit, when our rest together is in the dust Yes my hope was corruption and dust and all to which death brings us."
611,Thou and nature are still true to me.
612,At length the rooms began to thin.
613,"At length we arrived at a large, desert, dark cavern, which the Lazzeroni assured us was the Sibyl's Cave."
614,"Readiness of talent, a capacity of entering into, and leading the dispositions of men; earnest desire of distinction were the awakeners and nurses of his ambition."
615,"Expectation, and hopes, and affection were all too much for me."
616,"With such schooling did my poor Idris try to hush thronging fears, and in some measure succeeded."
617,I do not address them to you alone because it will give me pleasure to dwell upon our friendship in a way that would be needless if you alone read what I shall write.
618,"Live stock diminished sensibly in the country, from the effects of the great demand in the market."
619,At length I gathered resolution to address him in a pause of the tempest of his passion.
620,"The moon had reached her summit in the heavens and was beginning to descend; the clouds swept across it swifter than the flight of the vulture and dimmed her rays, while the lake reflected the scene of the busy heavens, rendered still busier by the restless waves that were beginning to rise."
621,"How in poor assemblage of words convey the halo of glory that surrounded her, the thousand graces that waited unwearied on her."
622,"You may easily imagine that I was much gratified by the offered communication, yet I could not endure that he should renew his grief by a recital of his misfortunes."
623,"She started wildly from her couch, and flew to the cabin window."
624,"I believe it was that coming out with a determination not to be repulsed I went right forward to my object without well weighing his replies: I was led by passion and drew him with frantic heedlessness into the abyss that he so fearfully avoided I replied to his terrific words: ""You fill me with affright it is true, dearest father, but you only confirm my resolution to put an end to this state of doubt."
625,"I grew impatient, I wept; sic and wrung my hands but still I could not discover my path."
626,"She had read no novels and associated only with her younger sisters, what could she know of the difference between love and friendship?"
627,"There is no fruition in their vacant kindness, and sharp rocks lurk beneath the smiling ripples of these shallow waters."
628,"He played a sweet mournful air which I perceived drew tears from the eyes of his amiable companion, of which the old man took no notice, until she sobbed audibly; he then pronounced a few sounds, and the fair creature, leaving her work, knelt at his feet."
629,"We were about to return homewards, when a voice, a human voice, strange now to hear, attracted our attention."
630,"A few men came to aid him; their numbers increased; under their united blows the obstacle was vanquished, gate, portcullis, and fence were demolished; and the wide sun lit way, leading to the heart of the city, now lay open before them."
631,"As the rules of order and pressure of laws were lost, some began with hesitation and wonder to transgress the accustomed uses of society."
632,"We passed rapidly along; the sun was hot, but we were sheltered from its rays by a kind of canopy while we enjoyed the beauty of the scene, sometimes on one side of the lake, where we saw Mont Saleve, the pleasant banks of Montalegre, and at a distance, surmounting all, the beautiful Mont Blanc and the assemblage of snowy mountains that in vain endeavour to emulate her; sometimes coasting the opposite banks, we saw the mighty Jura opposing its dark side to the ambition that would quit its native country, and an almost insurmountable barrier to the invader who should wish to enslave it."
633,My dream recurred to my thoughts; I was not usually superstitious but in wretchedness every one is so.
634,"The aspect of the country had so far changed, that it had been impossible to enter on the task of sowing seed, and other autumnal labours."
635,"Then came the tale of hair breadth escapes, combats with dogs, ambush and flight, as gipsey like we encompassed our pot."
636,"I cannot live the object of suspicion you cannot believe me let us part"" ""Exactly so,"" cried Perdita, ""I knew that it would come to this Are we not already parted?"
637,"He wished to repay the kindness of the Athenians, to keep alive the splendid associations connected with his name, and to eradicate from Europe a power which, while every other nation advanced in civilization, stood still, a monument of antique barbarism."
638,You may see him his hair stuck with wild flowers his eyes full of untraceable meaning his voice broken his person wasted to a shadow.
639,"During the first months of his Protectorate, Raymond and she had been inseparable; each project was discussed with her, each plan approved by her."
640,He asked me several questions concerning my progress in the different branches of science appertaining to natural philosophy.
641,"""Come,"" said Raymond, ""I yielded to you yesterday, now comply with my request take the pencil."""
642,Her guardian was not displeased with their mutual affection: the merit of Woodville was too eminent to admit of cavil on account of his inferior wealth; but the dying will of her father did not allow her to marry before she was of age and her fortune depended upon her obeying this injunction.
643,The very danger drew them closer.
644,"The myrtle bushes, the thyme, the little cyclamen, which peep from the fissures of the rock, all the produce of the place, bear affinity to him; the light that invests the hills participates in his essence, and sky and mountains, sea and valley, are imbued by the presence of his spirit."
645,"""She most of all,"" said Ernest, ""requires consolation; she accused herself of having caused the death of my brother, and that made her very wretched."
646,"He was not at the palace; and, though the attendants did not know whither he had gone, they did not expect him till late at night."
647,"Ever after this, I thought, I would live in the most dreary seclusion."
648,"Besides, is it not a shame, that the genius of Adrian should fade from the earth like a flower in an untrod mountain path, fruitless?"
649,"""I do know you better,"" I replied ""than to think that you would be happy in such a situation; but the good you would do to others may be an inducement, since the time is probably arrived when you can put your theories into practice, and you may bring about such reformation and change, as will conduce to that perfect system of government which you delight to portray."""
650,"I will live and die here ""Go you to England, Lionel; return to sweet Idris and dearest Adrian; return, and let my orphan girl be as a child of your own in your house."
651,"When his children had departed, he took up his guitar and played several mournful but sweet airs, more sweet and mournful than I had ever heard him play before."
652,"Many saw, seated above his vice regal throne, a supreme Providence, who directed his shafts, and guided his progress, and they bowed their heads in resignation, or at least in obedience."
653,"My cheek had grown pale with study, and my person had become emaciated with confinement."
654,The appearance of the plain was changed during this short interval; the encampment was broken up; the relics of the disbanded army met in small companies here and there; each face was clouded; every gesture spoke astonishment and dismay.
655,"Here I hold communion only with the has been, and to come."
656,"Justine, whom I loved and esteemed as my sister, how could she put on those smiles of innocence only to betray?"
657,"He spoke with a broken voice, then bowed his head, and, hiding his face in his hands, wept."
658,"He recognised the hand writing of Evadne, and the colour mounted in his cheeks."
659,"I was already well acquainted with what I may term the panorama of nature, the change of seasons, and the various appearances of heaven and earth."
660,"How ill you are What is the cause of all this?"" ""Do not ask me,"" cried I, putting my hands before my eyes, for I thought I saw the dreaded spectre glide into the room; ""HE can tell."
661,"But the fresh air and bright sun seldom failed to restore me to some degree of composure, and on my return I met the salutations of my friends with a readier smile and a more cheerful heart."
662,"Alas I am a most unhappy creature"" I was breathless with emotion, and I paused fixing my earnest eyes on my father, after I had dashed away the intrusive tears that dimmed them."
663,She was lovely; her manners were frank and simple; her deep blue eyes swam in a lustre which could only be given by sensibility joined to wisdom.
664,"She herself wept as Elizabeth spoke, but she did not answer."
665,"In the mean time, while I thus pampered myself with rich mental repasts, a peasant would have disdained my scanty fare, which I sometimes robbed from the squirrels of the forest."
666,"We visited the north of England, my native Ulswater, and lingered in scenes dear from a thousand associations."
667,"It was necessary that I should return without delay to Geneva, there to watch over the lives of those I so fondly loved and to lie in wait for the murderer, that if any chance led me to the place of his concealment, or if he dared again to blast me by his presence, I might, with unfailing aim, put an end to the existence of the monstrous image which I had endued with the mockery of a soul still more monstrous."
668,"""You have learnt a pretty lesson, Perdita,"" said I, ""and repeat it so literally, that you forget the while the proofs we have of the Earl's virtues; his generosity to us is manifest in our plenty, his bravery in the protection he affords us, his affability in the notice he takes of us."
669,I slept too undisturbed by dreams; and awoke refreshed to again enjoy my tranquil freedom.
670,"M. Krempe was not equally docile; and in my condition at that time, of almost insupportable sensitiveness, his harsh blunt encomiums gave me even more pain than the benevolent approbation of M. Waldman."
671,By day and night these thoughts pursued me.
672,"I dared hardly consider you as my daughter; your beauty, artlessness and untaught wisdom seemed to belong to a higher order of beings; your voice breathed forth only words of love: if there was aught of earthly in you it was only what you derived from the beauty of the world; you seemed to have gained a grace from the mountain breezes the waterfalls and the lake; and this was all of earthly except your affections that you had; there was no dross, no bad feeling in the composition."
673,"I felt as the sailor, who from the topmast first discovered the shore of America; and like him I hastened to tell my companions of my discoveries in unknown regions."
674,"Raymond felt no relief, received no pleasure from any show of heaven or earth."
675,"This was a strange tale, but it did not shake my faith; and I replied earnestly, ""You are all mistaken; I know the murderer."
676,"She was not her child, but the daughter of a Milanese nobleman."
677,"Be you witnesses,"" and he took the star, insignia of office, from his breast, and threw it on the table."
678,"Yet, when I am dead, if he should appear, if the ministers of vengeance should conduct him to you, swear that he shall not live swear that he shall not triumph over my accumulated woes and survive to add to the list of his dark crimes."
679,"I left her, and soon heard that she slept soundly under the influence of the opiate I had administered."
680,"For my own part, since Adrian had first withdrawn me from my selvatic wilderness to his own paradise of order and beauty, I had been wedded to literature."
681,"At the same time that he taught me by their means to subdue my own reckless and uncultured spirit, he opened to my view the living page of his own heart, and gave me to feel and understand its wondrous character."
682,"I was led to London, and had to endure for some weeks cold looks, cold words and colder consolations: but I escaped; they tried to bind me with fetters that they thought silken, yet which weighed on me like iron, although I broke them more easily than a girth formed of a single straw and fled to freedom."
683,"I wandered on, and the coming darkness made every trace indistinct by which I might be guided."
684,The mild exhortations of the old man and the lively conversation of the loved Felix were not for me.
685,This account may be taken as a sample of my intercourse with Lord Raymond.
686,"He dismissed his servants there, only telling them that he had a sudden call of business and that they were to obey me as their mistress untill his return."
687,"My father calmed me with assurances of their welfare and endeavoured, by dwelling on these subjects so interesting to my heart, to raise my desponding spirits; but he soon felt that a prison cannot be the abode of cheerfulness."
688,"And now, dear Margaret, do I not deserve to accomplish some great purpose?"
689,"The appetite for admiration and small capacity for self controul which I inherited from my father, nursed by adversity, made me daring and reckless."
690,"The interval was, consequently, spent in inaction; his grief only became more deep and rankling when he had leisure for reflection, and at length it took so fast hold of his mind that at the end of three months he lay on a bed of sickness, incapable of any exertion."
691,"""They shout,"" I said, ""because they will soon return to England."" ""Do you, then, really return?"" ""Alas Yes; I cannot withstand their demands."
692,"He would rather have died such a death, which will be recorded in history to endless time, than have lived to old age unknown, unhonoured."
693,There is my hope and my expectation; your's are in this world; may they be fulfilled.
694,"Shame shame if the first magistrate of England be foremost to renounce his duties."""
695,This was all accomplished even as I wished.
696,"Among his other advantages, Lord Raymond was supremely handsome; every one admired him; of women he was the idol."
697,The meal was quickly dispatched.
698,"I began to study more; to sympathize more in the thoughts of others as expressed in books; to read history, and to lose my individuallity among the crowd that had existed before me."
699,"Methought I had been invited to Timon's last feast; I came with keen appetite, the covers were removed, the hot water sent up its unsatisfying steams, while I fled before the anger of the host, who assumed the form of Raymond; while to my diseased fancy, the vessels hurled by him after me, were surcharged with fetid vapour, and my friend's shape, altered by a thousand distortions, expanded into a gigantic phantom, bearing on its brow the sign of pestilence."
700,"From your lips first have I heard the voice of kindness directed towards me; I shall be forever grateful; and your present humanity assures me of success with those friends whom I am on the point of meeting.' ""'May I know the names and residence of those friends?' ""I paused."
701,"In Greece I had learnt to love him; his very waywardness, and self abandonment to the impulses of superstition, attached me to him doubly; it might be weakness, but it was the antipodes of all that was grovelling and selfish."
702,"O blessed sleep Often, when most miserable, I sank to repose, and my dreams lulled me even to rapture."
703,"Immediately before me was the Top Kapou, the gate near which Mahomet had made the breach by which he entered the city."
704,We had remained five months in London three of joy and two of sorrow.
705,She looked steadily on life and assumed its duties with courage and zeal.
706,"This may seem madness to you, yet you also have pride and resolution; do not then wonder that my pride is tameless, my resolution unalterable."""
707,"This passion is detrimental to me, for you do not reflect that YOU are the cause of its excess."
708,"The very heart and soul of Raymond and Perdita had mingled, even as two mountain brooks that join in their descent, and murmuring and sparkling flow over shining pebbles, beside starry flowers; but let one desert its primal course, or be dammed up by choaking obstruction, and the other shrinks in its altered banks."
709,"Each day, before dawn, we left our night's encampment, and watched the shadows as they retreated from hill and valley, and the golden splendour of the sun's approach."
710,"Subscriptions were made for the emigrants, and merchants bankrupt by the failure of trade."
711,"She had not even the same advantage as I in the recollection of her parents; she clung to me, her brother, as her only friend, but her alliance with me completed the distaste that her protectors felt for her; and every error was magnified by them into crimes."
712,"For some time, the spirit of hilarity was kept up; but, at length, Perdita receded from the piano, for Raymond had joined in the trio of ""Taci ingiusto core,"" in Don Giovanni, whose arch entreaty was softened by him into tenderness, and thrilled her heart with memories of the changed past; it was the same voice, the same tone, the self same sounds and words, which often before she had received, as the homage of love to her no longer was it that; and this concord of sound with its dissonance of expression penetrated her with regret and despair."
713,"I lay upon the grass surrounded by a darkness which not the slightest beam of light penetrated There was no sound for the deep night had laid to sleep the insects, the only creatures that lived on the lone spot where no tree or shrub could afford shelter to aught else There was a wondrous silence in the air that calmed my senses yet which enlivened my soul, my mind hurried from image to image and seemed to grasp an eternity."
714,"The guides bring with them materials for renewing the light, but we had none our only resource was to return as we came."
715,Even so was it with the army of Greece.
716,"On the eve of the third day I retired early to my room; I could not sleep but paced all night about my chamber and, as you may in Scotland at midsummer, watched the crimson track of the sun as it almost skirted the northern horizon."
717,I was answered through the stillness of night by a loud and fiendish laugh.
718,"Day after day passed while we discussed our projects for the evening, and each night was occupied by debates which offered no conclusion."
719,The effect of this scene of incantation communicated a portion of its power to that which followed.
720,"""Do not answer; I know all your objections, and will reply to them in order."
721,I do not think that the pursuit of knowledge is an exception to this rule.
722,"If I survive, and she be lost, I were far better dead."
723,"If she died, where could there be found on record a murderer, whose cruel act might compare with his?"
724,"In reply, my sister requested me to accompany her the following evening to the tomb of Raymond."
725,"He had neither the ennobling self gratulation, which constancy inspires, to console him, nor the voluptuous sense of abandonment to a forbidden, but intoxicating passion."
726,Idris endeavoured to persuade her to remain.
727,"What had she done the while, how supported his absence and neglect?"
728,"I had gazed with wonder, mixed with fear and enthusiasm."
729,"Without the aid of servants, it was necessary to discharge all household duties; hands unused to such labour must knead the bread, or in the absence of flour, the statesmen or perfumed courtier must undertake the butcher's office."
730,"Adrian perceived the change, and feared that it would be difficult to prevent them from wreaking their utmost fury on the Irish."
731,Let us lament over and assist the children of the garden of the earth.
732,"Their only inhabitant, a little girl, was dancing, waltzing, and singing about them, followed by a large Newfoundland dog, who boisterously jumping on her, and interrupting her, made her now scold, now laugh, now throw herself on the carpet to play with him."
733,"After an interval I arose, and as if by instinct, crawled into the room where the corpse of my beloved lay."
734,"Thus strangely are our souls constructed, and by such slight ligaments are we bound to prosperity or ruin."
735,"At first he did not take his eyes from the papers; when he raised them, he was struck by the wretchedness manifest on her altered cheek; for a moment he forgot his own acts and fears, and asked with consternation ""Dearest girl, what is the matter; what has happened?"""
736,"We cut branches of the funereal trees and placed them over him, and on these again his sword."
737,"I felt as if he had placed carefully, one by one, in my view those instruments which were to be afterwards used in putting me to a slow and cruel death."
738,"By great application, however, and after having remained during the space of several revolutions of the moon in my hovel, I discovered the names that were given to some of the most familiar objects of discourse; I learned and applied the words, 'fire,' 'milk,' 'bread,' and 'wood.'"
739,She was very earnest to see the corpse.
740,The monster saw my determination in my face and gnashed his teeth in the impotence of anger.
741,"To this state there was no hope, no alleviation, unless the grave should quickly receive its destined prey, and she be permitted to die, before she experienced a thousand living deaths in the loss of those she loved."
742,"She returned to the house about eight o'clock, and when one inquired where she had passed the night, she replied that she had been looking for the child and demanded earnestly if anything had been heard concerning him."
743,"I knew that I ought to hasten my descent towards the valley, as I should soon be encompassed in darkness; but my heart was heavy, and my steps slow."
744,"I dreaded to behold this monster, but I feared still more that Henry should see him."
745,"Meanwhile among our guests in the park, all thoughts of festivity had faded."
746,"This aroused the stranger's attention, and he asked a multitude of questions concerning the route which the demon, as he called him, had pursued."
747,"But to me the remembrance of the threat returned; nor can you wonder that, omnipotent as the fiend had yet been in his deeds of blood, I should almost regard him as invincible, and that when he had pronounced the words ""I SHALL BE WITH YOU ON YOUR WEDDING NIGHT,"" I should regard the threatened fate as unavoidable."
748,"But my enthusiasm was checked by my anxiety, and I appeared rather like one doomed by slavery to toil in the mines, or any other unwholesome trade than an artist occupied by his favourite employment."
749,"A grin was on the face of the monster; he seemed to jeer, as with his fiendish finger he pointed towards the corpse of my wife."
750,Or so my fond fancy imaged some accident might meanwhile occur to destroy him and put an end to my slavery forever.
751,"Their extreme youth, and the purity of their attachment, made them yield with less resistance to the tyranny of circumstances."
752,"Poor fellow he lay stretched on a bed of sickness, his cheeks glowing with the hues of fever, his eyes half closed, his breath irregular and difficult."
753,"And this medley of undamaged buildings, and luxurious accommodation, in trim and fresh youth, was contrasted with the lonely silence of the unpeopled streets."
754,"By the grandeur of his conceptions, the graceful daring of his actions, by his wit and beauty, he won and ruled the minds of all."
755,"He scarcely appeared half his usual height; his joints were unknit, his limbs would not support him; his face was contracted, his eye wandering; debility of purpose and dastard fear were expressed in every gesture."
756,"His judgment, activity, and consummate bravery, justified their choice."
757,"I lived with a farmer whose house was built higher up among the hills: a dark crag rose behind it, and, exposed to the north, the snow lay in its crevices the summer through."
758,"Vanity first prompted me to ask you: vanity, I call it; yet even in this I see the hand of fate your presence will soon be necessary; you will become the last resource of Perdita, her protector and consoler."
759,"Raymond, the ambitious, restless Raymond, reposed midway on the great high road of life, and was content to give up all his schemes of sovereignty and fame, to make one of us, the flowers of the field."
760,"He replied in a hollow voice, ""Why deceive a helpless old man, why talk hypocritically to one half crazed?"
761,"""'Heaven forbid Even if you were really criminal, for that can only drive you to desperation, and not instigate you to virtue."
762,"If you had listened to the voice of conscience and heeded the stings of remorse before you had urged your diabolical vengeance to this extremity, Frankenstein would yet have lived."""
763,"Did not I appear sanctified, even to myself, because this love had for its temple my heart?"
764,"Thus, while Perdita was entertaining her guests, and anxiously awaiting the arrival of her lord, his ring was brought her; and she was told that a poor woman had a note to deliver to her from its wearer."
765,"At times like these, minute circumstances assume giant and majestic proportions; the very swinging open of the white gate that admitted us into the forest, arrested my thoughts as matter of interest; it was an every day act, never to occur again The setting crescent of the moon glittered through the massy trees to our right, and when we entered the park, we scared a troop of deer, that fled bounding away in the forest shades."
766,"Sometimes she reproached herself for taking too bitterly to heart, that which many would esteem an imaginary evil; but this was no subject for reason; and, ignorant as she was of the motives and true conduct of Raymond, things assumed for her even a worse appearance, than the reality warranted."
767,This professor was very unlike his colleague.
768,"Several weeks had elapsed since the festival of the anniversary, and she had been unable to calm her mind, or to subdue her thoughts to any regular train."
769,"He tried to make us act plays and to enter into masquerades, in which the characters were drawn from the heroes of Roncesvalles, of the Round Table of King Arthur, and the chivalrous train who shed their blood to redeem the holy sepulchre from the hands of the infidels."
770,"I asked, it is true, for greater treasures than a little food or rest: I required kindness and sympathy; but I did not believe myself utterly unworthy of it."
771,"""It seems that the total destruction of Constantinople, and the supposition that winter had purified the air of the fallen city, gave the Greeks courage to visit its site, and begin to rebuild it."
772,My application was at first fluctuating and uncertain; it gained strength as I proceeded and soon became so ardent and eager that the stars often disappeared in the light of morning whilst I was yet engaged in my laboratory.
773,"I had passed two whole years alone unrepining, but now I was miserable."
774,"Raymond had quitted the palace the night before; he had promised to grace the assembly, but he had not yet returned."
775,Upon hearing this he appeared satisfied and consented to come on board.
776,"I lifted her into the chaise; I assured her that with our four horses we should arrive in London before five o'clock, the hour when she would be sought and missed."
777,"Thus, sweetest, I shall not appear to die."
778,"Born at Athens, that city claimed him for her own, and by giving him the command of her peculiar division in the army, the commander in chief only possessed superior power."
779,"Thus often, pushing my way with difficulty through the narrow snow blocked town, I crossed the bridge and passed through Eton."
780,"""Felix had accidentally been present at the trial; his horror and indignation were uncontrollable when he heard the decision of the court."
781,The empire of the Mahometans in Europe was at its close.
782,"She never caressed me, and seemed all the time I staid in the room to fear that I should annoy her by some childish freak."
783,"A silence prevailed, till one of the members coming to me, whispered that the Earl of Windsor had sent him word that I was to move his election, in the absence of the person who had been first chosen for this office."
784,"I have prevented his encountering the inconveniences and perhaps dangers of so long a journey, yet how often have I regretted not being able to perform it myself I figure to myself that the task of attending on your sickbed has devolved on some mercenary old nurse, who could never guess your wishes nor minister to them with the care and affection of your poor cousin."
785,I built my hope on your confidence.
786,"At noon we met again, and we threw away in contempt our peasant fare, as we built our fire place and kindled the cheering blaze destined to cook the game stolen from the neighbouring preserves."
787,"Her letter to Raymond gave no clue for discovery; it assured him, that she was in no danger of wanting the means of life; she promised in it to preserve herself, and some future day perhaps to present herself to him in a station not unworthy of her."
788,"He was all animation; you could no longer trace in his look of health, the suffering valetudinarian; from his smile and sprightly tones you could not guess that he was about to lead forth from their native country, the numbered remnant of the English nation, into the tenantless realms of the south, there to die, one by one, till the LAST MAN should remain in a voiceless, empty world."
789,"Does the reader wish to hear of the pest houses, where death is the comforter of the mournful passage of the death cart of the insensibility of the worthless, and the anguish of the loving heart of harrowing shrieks and silence dire of the variety of disease, desertion, famine, despair, and death?"
790,"The overgrown metropolis, the great heart of mighty Britain, was pulseless."
791,"Suffering and amiability may exist together, and writers have loved to depict their conjunction; there is a human and touching harmony in the picture."
792,On hearing this information I suffered a temporary access of despair.
793,We passed through busy towns and cultivated plains.
794,"Pardon this gush of sorrow; these ineffectual words are but a slight tribute to the unexampled worth of Henry, but they soothe my heart, overflowing with the anguish which his remembrance creates."
795,"""Is this your promised zeal?"" ""Pardon me,"" I said, ""but even as you speak, I am gone."""
796,"I lost sight of her, and in about a quarter of an hour she returned bearing the pail, which was now partly filled with milk."
797,No time or space can tear from my soul that which makes a part of it.
798,She was half mad from the effects of uncontrollable agitation.
799,"Most men ruthlessly destroy the sacred veil, with which the female heart is wont to adorn the idol of its affections."
800,"As I marked the placid expression that had settled on her countenance in death, I felt, in spite of the pangs of remorse, in spite of heart rending regret, that it was better to die so, than to drag on long, miserable years of repining and inconsolable grief."
801,I alluded to the coldness of her letters; but the few minutes we had spent together sufficiently explained the origin of this.
802,"One secret which I alone possessed was the hope to which I had dedicated myself; and the moon gazed on my midnight labours, while, with unrelaxed and breathless eagerness, I pursued nature to her hiding places."
803,I was for ever with him.
804,"A length I found that he had altered his route; at first he had followed the London road; but now he changed it, and upon enquiry I found that the one which he now pursued led towards the sea."
805,"I was their plaything and their idol, and something better their child, the innocent and helpless creature bestowed on them by heaven, whom to bring up to good, and whose future lot it was in their hands to direct to happiness or misery, according as they fulfilled their duties towards me."
806,"But even if I were condemned to suffer on the scaffold for the same crimes, I would not change places with such a wretch."""
807,"I passed whole days on the lake alone in a little boat, watching the clouds and listening to the rippling of the waves, silent and listless."
808,"Yet one moment, one brief interval before I put from shore once, once again let me fancy myself as I was in in my abode at Windsor, let me close my eyes, and imagine that the immeasurable boughs of its oaks still shadow me, its castle walls anear."
809,I hastened to carry the intelligence of these strange proceedings to Perdita; and we were soon joined by Raymond.
810,"Once my heart sat lightly in my bosom; all the beauty of the world was doubly beautiful, irradiated by the sun light shed from my own soul."
811,"After awhile she discovered, that amidst all her newly acquired knowledge, her own character, which formerly she fancied that she thoroughly understood, became the first in rank among the terrae incognitae, the pathless wilds of a country that had no chart."
812,"What a noble boon, worthy the giver, is the imagination it takes from reality its leaden hue: it envelopes all thought and sensation in a radiant veil, and with an hand of beauty beckons us from the sterile seas of life, to her gardens, and bowers, and glades of bliss."
813,"The plague entered the village; and, while fright and grief deprived the inhabitants of the little wisdom they possessed, old Martha stepped forward and said ""Before now I have been in a town where there was the plague."""
814,"A youngster who, but a few years ago, believed in Cornelius Agrippa as firmly as in the gospel, has now set himself at the head of the university; and if he is not soon pulled down, we shall all be out of countenance."
815,"Thus not the tenderness of friendship, nor the beauty of earth, nor of heaven, could redeem my soul from woe; the very accents of love were ineffectual."
816,"He had returned, and he wrote to know whether my aunt would come to London or whether he should visit her in Scotland."
817,"From the one we gather unquiet speculation, from the other satiety."
818,"For the last time we looked on the wide extent of country visible from the terrace, and saw the last rays of the sun tinge the dark masses of wood variegated by autumnal tints; the uncultivated fields and smokeless cottages lay in shadow below; the Thames wound through the wide plain, and the venerable pile of Eton college, stood in dark relief, a prominent object; the cawing of the myriad rooks which inhabited the trees of the little park, as in column or thick wedge they speeded to their nests, disturbed the silence of evening."
819,"When night came on, she begged that Clara might sleep in a separate cabin."
820,How petty do the actions of our earthly life appear when the whole universe is opened to our gaze yet there our passions are deep irrisisbable sic and as we are floating hopless yet clinging to hope down the impetuous stream can we perceive the beauty of its banks which alas my soul was too turbid to reflect If knowledge is the end of our being why are passions feelings implanted in us that hurries sic us from wisdom to selfconcentrated misery narrow selfish feeling?
821,"To drag hour after hour, to see the trees wave their branches restlessly, to feel the air, to suffer in all I feel keenest agony."
822,"I was very ill for a long time, and when I recovered from the immediate danger of fever, every symptom of a rapid consumption declared itself."
823,"We were as a man who hears that his house is burning, and yet hurries through the streets, borne along by a lurking hope of a mistake, till he turns the corner, and sees his sheltering roof enveloped in a flame."
824,"Shall I bow my head before them, and with servile gesture sell my nobility for life?"
825,"I was guiltless, but I had indeed drawn down a horrible curse upon my head, as mortal as that of crime."
826,"America had also received the taint; and, were it yellow fever or plague, the epidemic was gifted with a virulence before unfelt."
827,You long for death and yet you fear it and wish me to be your companion.
828,"Agatha asked a question, to which the stranger only replied by pronouncing, in a sweet accent, the name of Felix."
829,"Not with Raymond, who was unconscious of the misery he occasioned; not with Evadne, for her his soul wept tears of blood poor, mistaken girl, slave not tyrant was she, and amidst his own anguish he grieved for her future destiny."
830,In the morning I went to the court; my lips and throat were parched.
831,"She slept; and quiet prevailed in the Castle, whose inhabitants were hushed to repose."
832,"Already the defenceless citizens had suffered through the barbarity of the Janisaries; and, in time of storm, tumult and massacre, beauty, infancy and decrepitude, would have alike been sacrificed to the brutal ferocity of the soldiers."
833,"And since in the wide world thou remainest, why should I complain?"
834,"I entered, and one glance assured me that its former inhabitant was no more he lay on a heap of straw, cold and stiff; while a pernicious effluvia filled the room, and various stains and marks served to shew the virulence of the disorder."
835,"If she is, as you believe, innocent, rely on the justice of our laws, and the activity with which I shall prevent the slightest shadow of partiality."""
836,"She was delighted to see us; caressed our children, praised their growth and improvement; Clara also was pleased to meet again her young friend Alfred; all kinds of childish games were entered into, in which Perdita joined."
837,The multitude extolled the same poems that formed the wonder of the sage in his closet: there was not one dissentient voice.
838,"I exclaimed, ""I have now found out the secret"" ""What secret?"""
839,"The evil was so wide spreading, so violent and immedicable, that no care, no prevention could be judged superfluous, which even added a chance to our escape."
840,"Even Adrian was obliged in part to yield, that he might be able, if not to guide, at least to set bounds to the license of the times."
841,"I, who had ever been surrounded by amiable companions, continually engaged in endeavouring to bestow mutual pleasure I was now alone."
842,"It was May, four years ago, that I first saw my beloved father; it was in May, three years ago that my folly destroyed the only being I was doomed to love."
843,I related my meeting with her; the story of her death was told and re told.
844,"But all at close of day, with riven planks and rent canvas make for shore, and are either wrecked ere they reach it, or find some wave beaten haven, some desart strand, whereon to cast themselves and die unmourned."
845,"The storm, as is often the case in Switzerland, appeared at once in various parts of the heavens."
